0,0,67
0,1,8
0,2,9
1,0,97
1,1,108
1,2,221
2,0,86
2,1,86
2,2,45
3,0,10
3,1,88
3,2,15
4,0,54
4,1,4
4,2,17
5,0,1
5,1,48
5,2,12
6,0,6
6,1,16
6,2,20
7,0,76
7,1,30
7,2,4
8,0,21
8,1,108
8,2,36
9,0,5
9,1,9
9,2,32
10,0,14
10,1,35
10,2,5
11,0,20
11,1,10
11,2,5
12,0,9
12,1,65
12,2,70
13,0,20
13,1,60
13,2,8
14,0,45
14,1,33
14,2,7
15,0,5
15,1,24
15,2,15
16,0,27
16,1,11
16,2,64
17,0,11
17,1,13
17,2,39
18,0,60
18,1,21
18,2,31
19,0,21
19,1,40
19,2,37
20,0,112
20,1,48
20,2,3
21,0,99
21,1,28
21,2,17
22,0,27
22,1,50
22,2,56
23,0,19
23,1,63
23,2,14
24,0,83
24,1,45
24,2,82
25,0,2
25,1,28
25,2,102
26,0,45
26,1,68
26,2,22
27,0,161
27,1,4
27,2,87
28,0,49
28,1,1
28,2,29
29,0,2
29,1,104
29,2,1
30,0,18
30,1,2
30,2,15
31,0,54
31,1,18
31,2,57
32,0,30
32,1,12
32,2,4
33,0,54
33,1,4
33,2,80
34,0,47
34,1,170
34,2,16
35,0,20
35,1,71
35,2,21
36,0,0
36,1,46
36,2,25
37,0,31
37,1,15
37,2,92
38,0,24
38,1,73
38,2,21
39,0,73
39,1,7
39,2,19
40,0,28
40,1,16
40,2,34
41,0,27
41,1,100
41,2,134
42,0,36
42,1,44
42,2,4
43,0,8
43,1,114
43,2,10
44,0,8
44,1,9
44,2,4
45,0,35
45,1,14
45,2,162
46,0,30
46,1,123
46,2,0
47,0,58
47,1,31
47,2,9
48,0,8
48,1,0
48,2,1
49,0,9
49,1,99
49,2,60
50,0,2
50,1,42
50,2,2
51,0,22
51,1,7
51,2,37
52,0,118
52,1,43
52,2,42
53,0,133
53,1,14
53,2,2
54,0,162
54,1,35
54,2,1
55,0,25
55,1,92
55,2,155
56,0,38
56,1,45
56,2,9
57,0,145
57,1,32
57,2,88
58,0,57
58,1,8
58,2,67
59,0,62
59,1,147
59,2,55
60,0,15
60,1,1
60,2,62
61,0,83
61,1,3
61,2,98
62,0,20
62,1,108
62,2,10
63,0,0
63,1,20
63,2,6
64,0,26
64,1,10
64,2,47
65,0,57
65,1,7
65,2,3
66,0,38
66,1,11
66,2,43
67,0,18
67,1,63
67,2,143
68,0,130
68,1,5
68,2,42
69,0,24
69,1,13
69,2,9
70,0,68
70,1,18
70,2,51
71,0,36
71,1,8
71,2,16
72,0,48
72,1,5
72,2,38
73,0,43
73,1,9
73,2,67
74,0,51
74,1,92
74,2,35
75,0,46
75,1,52
75,2,21
76,0,7
76,1,35
76,2,15
77,0,17
77,1,15
77,2,6
78,0,30
78,1,7
78,2,167
79,0,4
79,1,149
79,2,5
80,0,72
80,1,31
80,2,1
81,0,4
81,1,11
81,2,7
82,0,20
82,1,65
82,2,104
83,0,2
83,1,24
83,2,18
84,0,42
84,1,1
84,2,49
85,0,153
85,1,33
85,2,47
86,0,47
86,1,11
86,2,1
87,0,5
87,1,65
87,2,42
88,0,38
88,1,81
88,2,109
89,0,25
89,1,36
89,2,16
90,0,141
90,1,12
90,2,77
91,0,98
91,1,6
91,2,27
92,0,99
92,1,52
92,2,74
93,0,173
93,1,0
93,2,0
94,0,67
94,1,0
94,2,86
95,0,9
95,1,123
95,2,42
96,0,53
96,1,54
96,2,8
97,0,21
97,1,5
97,2,7
98,0,14
98,1,15
98,2,7
0,0,45
0,1,8
0,2,7
1,0,81
1,1,166
1,2,243
2,0,109
2,1,80
2,2,38
3,0,16
3,1,82
3,2,12
4,0,67
4,1,4
4,2,20
5,0,1
5,1,29
5,2,11
6,0,9
6,1,20
6,2,9
7,0,69
7,1,27
7,2,3
8,0,34
8,1,106
8,2,48
9,0,5
9,1,12
9,2,33
10,0,18
10,1,37
10,2,6
11,0,23
11,1,12
11,2,4
12,0,13
12,1,124
12,2,123
13,0,36
13,1,41
13,2,11
14,0,45
14,1,32
14,2,7
15,0,8
15,1,20
15,2,22
16,0,29
16,1,22
16,2,64
17,0,6
17,1,6
17,2,37
18,0,62
18,1,13
18,2,26
19,0,33
19,1,28
19,2,81
20,0,121
20,1,91
20,2,2
21,0,97
21,1,33
21,2,18
22,0,27
22,1,58
22,2,94
23,0,28
23,1,68
23,2,11
24,0,75
24,1,43
24,2,45
25,0,4
25,1,26
25,2,56
26,0,63
26,1,89
26,2,17
27,0,142
27,1,3
27,2,71
28,0,57
28,1,1
28,2,37
29,0,2
29,1,78
29,2,2
30,0,20
30,1,2
30,2,15
31,0,60
31,1,12
31,2,55
32,0,30
32,1,15
32,2,2
33,0,53
33,1,4
33,2,89
34,0,100
34,1,137
34,2,12
35,0,27
35,1,38
35,2,18
36,0,0
