0,0,16
0,1,63
0,2,16
0,3,384
0,4,164
1,0,23
1,1,44
1,2,4
1,3,75
1,4,2
2,0,22
2,1,64
2,2,32
2,3,17
2,4,15
3,0,44
3,1,30
3,2,185
3,3,116
3,4,62
4,0,21
4,1,31
4,2,3
4,3,177
4,4,119
5,0,17
5,1,134
5,2,68
5,3,13
5,4,0
6,0,58
6,1,34
6,2,11
6,3,41
6,4,16
7,0,16
7,1,188
7,2,9
7,3,58
7,4,2
8,0,69
8,1,159
8,2,141
8,3,155
8,4,30
9,0,2
9,1,3
9,2,160
9,3,26
9,4,135
10,0,12
10,1,10
10,2,5
10,3,28
10,4,130
11,0,47
11,1,23
11,2,7
11,3,87
11,4,36
12,0,55
12,1,42
12,2,29
12,3,16
12,4,29
13,0,40
13,1,14
13,2,216
13,3,63
13,4,40
14,0,39
14,1,24
14,2,2
14,3,184
14,4,245
15,0,21
15,1,134
15,2,90
15,3,17
15,4,1
16,0,55
16,1,89
16,2,83
16,3,14
16,4,2
17,0,12
17,1,224
17,2,55
17,3,2
17,4,0
18,0,49
18,1,111
18,2,101
18,3,89
18,4,11
19,0,69
19,1,16
19,2,258
19,3,63
19,4,16
20,0,8
20,1,93
20,2,24
20,3,249
20,4,107
21,0,31
21,1,7
21,2,4
21,3,17
21,4,55
22,0,95
22,1,63
22,2,59
22,3,9
22,4,11
23,0,38
23,1,80
23,2,107
23,3,62
23,4,67
24,0,34
24,1,43
24,2,0
24,3,89
24,4,298
25,0,27
25,1,180
25,2,58
25,3,1
25,4,0
26,0,94
26,1,275
26,2,64
26,3,2
26,4,14
27,0,26
27,1,80
27,2,33
27,3,20
27,4,6
28,0,90
28,1,74
28,2,79
28,3,158
28,4,91
29,0,117
29,1,11
29,2,119
29,3,85
29,4,3
30,0,9
30,1,51
30,2,36
30,3,203
30,4,7
31,0,1
31,1,16
31,2,8
31,3,89
31,4,125
32,0,72
32,1,27
32,2,187
32,3,4
32,4,14
33,0,13
33,1,101
33,2,14
33,3,29
33,4,103
34,0,33
34,1,16
34,2,0
34,3,130
34,4,246
35,0,33
35,1,214
35,2,149
35,3,8
35,4,3
36,0,53
36,1,160
36,2,23
36,3,24
36,4,18
37,0,29
37,1,168
37,2,23
37,3,24
37,4,4
38,0,79
38,1,149
38,2,163
38,3,153
38,4,96
39,0,155
39,1,4
39,2,255
39,3,114
39,4,2
40,0,5
40,1,94
40,2,13
40,3,46
40,4,77
41,0,71
41,1,28
41,2,2
41,3,51
41,4,188
42,0,8
42,1,24
42,2,68
42,3,0
42,4,27
43,0,46
43,1,25
43,2,67
43,3,96
43,4,127
44,0,53
44,1,60
44,2,1
44,3,18
44,4,44
45,0,22
45,1,42
45,2,2
45,3,11
45,4,2
46,0,10
46,1,308
46,2,44
46,3,29
46,4,8
47,0,33
47,1,50
47,2,39
47,3,46
47,4,4
48,0,38
48,1,98
48,2,111
48,3,75
48,4,85
49,0,49
49,1,6
49,2,91
49,3,11
49,4,74
0,0,11
0,1,77
0,2,33
0,3,422
0,4,132
1,0,21
1,1,41
1,2,5
1,3,69
1,4,1
2,0,29
2,1,43
2,2,15
2,3,19
2,4,18
3,0,44
3,1,31
3,2,146
3,3,148
3,4,239
4,0,16
4,1,26
4,2,3
4,3,186
4,4,80
5,0,23
5,1,113
5,2,92
5,3,17
5,4,0
6,0,58
6,1,41
6,2,28
6,3,26
6,4,9
7,0,24
7,1,204
7,2,11
7,3,57
7,4,3
8,0,87
8,1,154
8,2,152
8,3,134
8,4,38
9,0,5
9,1,3
9,2,275
9,3,20
9,4,99
10,0,12
10,1,8
10,2,6
10,3,22
10,4,122
11,0,70
11,1,16
11,2,8
